verse_id	version	description_plain
19030001	KJV	A Psalm and Song at the dedication of the house of David.
19003001	KJV	A Psalm of David, when he fled from Absalom his son.
19004001	KJV	To the chief Musician on Neginoth, A Psalm of David.
19005001	KJV	To the chief Musician upon Nehiloth, A Psalm of David.
19006001	KJV	To the chief Musician on Neginoth upon Sheminith, A Psalm of David.
19007001	KJV	Shiggaion of David, which he sang unto the LORD, concerning the words of Cush the Benjamite.
19008001	KJV	To the chief Musician upon Gittith, A Psalm of David.
19009001	KJV	To the chief Musician upon Muth-labben, A Psalm of David.
19011001	KJV	To the chief Musician, A Psalm of David.
19012001	KJV	To the chief Musician upon Sheminith, A Psalm of David.
19013001	KJV	To the chief Musician, A Psalm of David.
19014001	KJV	To the chief Musician, A Psalm of David.
19015001	KJV	A Psalm of David.
19016001	KJV	Michtam of David.
19017001	KJV	A Prayer of David.
19018001	KJV	To the chief Musician, A Psalm of David, the servant of the LORD, who spake unto the LORD the words of this song in the day that the LORD delivered him from the hand of all his enemies, and from the hand of Saul: And he said,
19019001	KJV	To the chief Musician, A Psalm of David.
19020001	KJV	To the chief Musician, A Psalm of David.
19021001	KJV	To the chief Musician, A Psalm of David.
19022001	KJV	To the chief Musician upon Aijeleth Shahar, A Psalm of David.
19023001	KJV	A Psalm of David.
19024001	KJV	A Psalm of David.
19029001	KJV	A Psalm of David.
19031001	KJV	To the chief Musician, A Psalm of David.
19036001	KJV	To the chief Musician, A Psalm of David the servant of the LORD.
19038001	KJV	A Psalm of David, to bring to remembrance.
19039001	KJV	To the chief Musician, even to Jeduthun, A Psalm of David.
19040001	KJV	To the chief Musician, A Psalm of David.
19041001	KJV	To the chief Musician, A Psalm of David.
19042001	KJV	To the chief Musician, Maschil, for the sons of Korah.
19044001	KJV	To the chief Musician for the sons of Korah, Maschil.
19045001	KJV	To the chief Musician upon Shoshannim, for the sons of Korah, Maschil, A Song of loves.
19046001	KJV	To the chief Musician for the sons of Korah, A Song upon Alamoth.
19047001	KJV	To the chief Musician, A Psalm for the sons of Korah.
19048001	KJV	A Song and Psalm for the sons of Korah.
19049001	KJV	To the chief Musician, A Psalm for the sons of Korah.
19050001	KJV	A Psalm of Asaph.
19051001	KJV	To the chief Musician, A Psalm of David, when Nathan the prophet came unto him, after he had gone in to Bath-sheba.
19052001	KJV	To the chief Musician, Maschil, A Psalm of David, when Doeg the Edomite came and told Saul, and said unto him, David is come to the house of Ahimelech.
19053001	KJV	To the chief Musician upon Mahalath, Maschil, A Psalm of David.
19054001	KJV	To the chief Musician on Neginoth, Maschil, A Psalm of David, when the Ziphim came and said to Saul, Doth not David hide himself with us?
19055001	KJV	To the chief Musician on Neginoth, Maschil, A Psalm of David.
19056001	KJV	To the chief Musician upon Jonath-elem-rechokim, Michtam of David, when the Philistines took him in Gath.
19057001	KJV	To the chief Musician, Altaschith, Michtam of David, when he fled from Saul in the cave.
19058001	KJV	To the chief Musician, Al-taschith, Michtam of David.
19059001	KJV	To the chief Musician, Al-taschith, Michtam of David; when Saul sent, and they watched the house to kill him.
19060001	KJV	To the chief Musician upon Shushan-eduth, Michtam of David, to teach; when he strove with Aram-naharaim and with Aram-zobah, when Joab returned, and smote of Edom in the valley of salt twelve thousand.
19061001	KJV	To the chief Musician upon Neginah, A Psalm of David.
19062001	KJV	To the chief Musician, to Jeduthun, A Psalm of David.
19063001	KJV	A Psalm of David, when he was in the wilderness of Judah.
19064001	KJV	To the chief Musician, A Psalm of David.
19065001	KJV	To the chief Musician, A Psalm and Song of David.
19066001	KJV	To the chief Musician, A Song or Psalm.
19067001	KJV	To the chief Musician on Neginoth, A Psalm or Song.
19068001	KJV	To the chief Musician, A Psalm or Song of David.
19069001	KJV	To the chief Musician upon Shoshannim, A Psalm of David.
19070001	KJV	To the chief Musician, A Psalm of David, to bring to remembrance.
19073001	KJV	A Psalm of Asaph.
19074001	KJV	Maschil of Asaph.
19075001	KJV	To the chief Musician, Al-taschith, A Psalm or Song of Asaph.
19076001	KJV	To the chief Musician on Neginoth, A Psalm or Song of Asaph.
19077001	KJV	To the chief Musician, to Jeduthun, A Psalm of Asaph.
19078001	KJV	Maschil of Asaph.
19079001	KJV	A Psalm of Asaph.
19080001	KJV	To the chief Musician upon Shoshannim-eduth, A Psalm of Asaph.
19081001	KJV	To the chief Musician upon Gittith, A Psalm of Asaph.
19082001	KJV	A Psalm of Asaph.
19083001	KJV	A Song or Psalm of Asaph.
19084001	KJV	To the chief Musician upon Gittith, A Psalm for the sons of Korah.
19085001	KJV	To the chief Musician, A Psalm for the sons of Korah.
19086001	KJV	A Prayer of David.
19087001	KJV	A Psalm or Song for the sons of Korah.
19088001	KJV	A Song or Psalm for the sons of Korah, to the chief Musician upon Mahalath Leannoth, Maschil of Heman the Ezrahite.
19089001	KJV	Maschil of Ethan the Ezrahite.
19090001	KJV	A Prayer of Moses the man of God.
19028001	KJV	A Psalm of David.
19035001	KJV	A Psalm of David.
19037001	KJV	A Psalm of David.
19072001	KJV	A Psalm for Solomon.
19032001	KJV	A Psalm of David, Maschil.
19092001	KJV	A Psalm or Song for the sabbath day.
19098001	KJV	A Psalm.
19100001	KJV	A Psalm of praise.
19101001	KJV	A Psalm of David.
19102001	KJV	A Prayer of the afflicted, when he is overwhelmed, and poureth out his complaint before the LORD.
19108001	KJV	A Song or Psalm of David.
19109001	KJV	To the chief Musician, A Psalm of David.
19110001	KJV	A Psalm of David.
19120001	KJV	A Song of degrees.
19121001	KJV	A Song of degrees.
19122001	KJV	A Song of degrees of David.
19123001	KJV	A Song of degrees.
19124001	KJV	A Song of degrees of David.
19125001	KJV	A Song of degrees.
19126001	KJV	A Song of degrees.
19127001	KJV	A Song of degrees for Solomon.
19128001	KJV	A Song of degrees.
19129001	KJV	A Song of degrees.
19130001	KJV	A Song of degrees.
19131001	KJV	A Song of degrees of David.
19132001	KJV	A Song of degrees.
19133001	KJV	A Song of degrees of David.
19134001	KJV	A Song of degrees.
19139001	KJV	To the chief Musician, A Psalm of David.
19140001	KJV	To the chief Musician, A Psalm of David.
19141001	KJV	A Psalm of David.
19142001	KJV	Maschil of David; A Prayer when he was in the cave.
19143001	KJV	A Psalm of David.
19145001	KJV	David's Psalm of praise.
19027001	KJV	A Psalm of David.
19026001	KJV	A Psalm of David.
19025001	KJV	A Psalm of David.
19103001	KJV	A Psalm of David.
19144001	KJV	A Psalm of David.
19034001	KJV	A Psalm of David, when he changed his behaviour before Abimelech; who drove him away, and he departed.
19138001	KJV	A Psalm of David.
